"Package","Type","Used","UsedIn"
"@google/genai","dep","True","electron\main.js; src\hooks\useGeminiLive.ts; src\lib\dashboard.ts; src\lib\genai.ts"
"@jitsi/robotjs","dep","True","electron\main.js"
"@picovoice/porcupine-node","dep","False",""
"@picovoice/pvrecorder-node","dep","False",""
"@types/node","dev","False",""
"@types/react","dev","False",""
"@types/react-dom","dev","False",""
"@vitejs/plugin-react","dev","True","vite.config.ts"
"autoprefixer","dev","False",""
"axios","dep","True","electron\main.js"
"clsx","dep","False",""
"concurrently","dev","False",""
"cross-env","dev","False",""
"dotenv","dep","True","electron\main.js"
"electron","dev","True","electron\main.js; electron\preload.js"
"electron-builder","dev","False",""
"electron-updater","dep","True","electron\main.js"
"exceljs","dep","False",""
"lucide-react","dep","True","src\App.tsx; src\components\LogTerminal.tsx; src\components\modals\ContactsModal.tsx; src\components\modals\DashboardSettingsModal.tsx; src\components\modals\HistoryModal.tsx; src\components\modals\MemoryModal.tsx; src\components\modals\SecretKeyModal.tsx; src\components\modals\SettingsModal.tsx; src\components\modals\UserProfileModal.tsx; src\components\modules\FolderExplorer.tsx; src\components\modules\NotesSection.tsx; src\components\modules\SidebarLeft.tsx; src\components\modules\SidebarRight.tsx; src\components\modules\SystemControls.tsx; src\components\modules\TasksSection.tsx; src\components\modules\UpdateNotification.tsx; src\components\modules\VisualHub.tsx; src\components\modules\YouTubePlayer.tsx; src\components\TodayHeadlines.tsx; src\components\voice\TranscriptTerminal.tsx"
"mammoth","dep","True","electron\main.js"
"mime-types","dep","True","electron\main.js"
"node-record-lpcm16","dep","False",""
"open","dep","True","electron\main.js"
"pdf-parse","dep","True","electron\main.js"
"postcss","dev","False",""
"react","dep","True","src\App.tsx; src\components\DotGlobe.tsx; src\components\layout\MainLayout.tsx; src\components\LogTerminal.tsx; src\components\modals\ContactsModal.tsx; src\components\modals\HistoryModal.tsx; src\components\modals\SecretKeyModal.tsx; src\components\modals\SettingsModal.tsx; src\components\modules\AIGlobePortal.tsx; src\components\modules\FolderExplorer.tsx; src\components\modules\LoadingScreen.tsx; src\components\modules\NotesSection.tsx; src\components\modules\SidebarRight.tsx; src\components\modules\SystemConnections.tsx; src\components\modules\TasksSection.tsx; src\components\modules\UpdateNotification.tsx; src\components\modules\VisualHub.tsx; src\components\modules\YouTubePlayer.tsx; src\components\ParticleSphere.tsx; src\components\TodayHeadlines.tsx; src\components\Transcript.tsx; src\components\ui\HolographicCard.tsx; src\components\ui\NeonButton.tsx; src\components\voice\AICore.tsx; src\components\voice\TranscriptTerminal.tsx; src\components\VoiceOrb.tsx; src\hooks\useAudio.ts; src\hooks\useGeminiLive.ts; src\hooks\useZoom.ts; src\main.tsx"
"react-dom","dep","True","src\components\modules\UpdateNotification.tsx; src\main.tsx"
"recharts","dep","False",""
"screenshot-desktop","dep","True","electron\main.js"
"systeminformation","dep","True","electron\main.js"
"tailwindcss","dev","True","tailwind.config.js"
"tailwind-merge","dep","False",""
"typescript","dev","False",""
"vite","dev","True","src\vite-env.d.ts; vite.config.ts"
"wait-on","dev","False",""
