"Package","Type","Used","UsedIn"
"@google/genai","dep","True","electron\main.js:68; package.json:18; src\hooks\useGeminiLive.ts:2; src\lib\dashboard.ts:1; src\lib\genai.ts:1"
"@jitsi/robotjs","dep","True","electron\main.js:686; package.json:19"
"@picovoice/porcupine-node","dep","True","package.json:20"
"@picovoice/pvrecorder-node","dep","True","package.json:21"
"@types/node","dev","True","package.json:41"
"@types/react","dev","True","package.json:42; package.json:43"
"@types/react-dom","dev","True","package.json:43"
"@vitejs/plugin-react","dev","True","package.json:44; vite.config.ts:2"
"autoprefixer","dev","True","package.json:45"
"axios","dep","True","electron\main.js:11; package.json:22"
"clsx","dep","True","package.json:23"
"concurrently","dev","True","package.json:11; package.json:46"
"cross-env","dev","True","package.json:11; package.json:47"
"dotenv","dep","True","electron\main.js:14; package.json:24"
"electron","dev","True","electron\main.js:1; electron\main.js:12; electron\main.js:25; electron\main.js:7; electron\main.js:926; electron\preload.js:1; package.json:11; package.json:12; package.json:25; package.json:48; package.json:49; package.json:6"
"electron-builder","dev","True","package.json:12; package.json:49"
"electron-updater","dep","True","electron\main.js:25; package.json:25"
"exceljs","dep","True","package.json:26"
"lucide-react","dep","True","package.json:27; src\App.tsx:2; src\components\LogTerminal.tsx:2; src\components\modals\ContactsModal.tsx:2; src\components\modals\DashboardSettingsModal.tsx:1; src\components\modals\HistoryModal.tsx:2; src\components\modals\MemoryModal.tsx:1; src\components\modals\SecretKeyModal.tsx:2; src\components\modals\SettingsModal.tsx:2; src\components\modals\UserProfileModal.tsx:1; src\components\modules\FolderExplorer.tsx:2; src\components\modules\NotesSection.tsx:2; src\components\modules\SidebarLeft.tsx:1; src\components\modules\SidebarRight.tsx:2; src\components\modules\SystemControls.tsx:1; src\components\modules\TasksSection.tsx:2; src\components\modules\UpdateNotification.tsx:3; src\components\modules\VisualHub.tsx:2; src\components\modules\YouTubePlayer.tsx:2; src\components\TodayHeadlines.tsx:2; src\components\voice\TranscriptTerminal.tsx:2"
"mammoth","dep","True","electron\main.js:22; package.json:28"
"mime-types","dep","True","electron\main.js:8; package.json:29"
"node-record-lpcm16","dep","True","package.json:30"
"open","dep","True","package.json:31"
"pdf-parse","dep","True","electron\main.js:21; package.json:32"
"postcss","dev","True","package.json:50"
"react","dep","True","package.json:27; package.json:33; package.json:34; package.json:42; package.json:43; package.json:44; src\App.tsx:1; src\App.tsx:2; src\components\DotGlobe.tsx:2; src\components\layout\MainLayout.tsx:1; src\components\LogTerminal.tsx:1; src\components\LogTerminal.tsx:2; src\components\modals\ContactsModal.tsx:1; src\components\modals\ContactsModal.tsx:2; src\components\modals\DashboardSettingsModal.tsx:1; src\components\modals\HistoryModal.tsx:1; src\components\modals\HistoryModal.tsx:2; src\components\modals\MemoryModal.tsx:1; src\components\modals\SecretKeyModal.tsx:1; src\components\modals\SecretKeyModal.tsx:2; src\components\modals\SettingsModal.tsx:1; src\components\modals\SettingsModal.tsx:2; src\components\modals\UserProfileModal.tsx:1; src\components\modules\AIGlobePortal.tsx:1; src\components\modules\FolderExplorer.tsx:1; src\components\modules\FolderExplorer.tsx:2; src\components\modules\LoadingScreen.tsx:1; src\components\modules\NotesSection.tsx:1; src\components\modules\NotesSection.tsx:2; src\components\modules\SidebarLeft.tsx:1; src\components\modules\SidebarRight.tsx:1; src\components\modules\SidebarRight.tsx:2; src\components\modules\SystemConnections.tsx:1; src\components\modules\SystemControls.tsx:1; src\components\modules\TasksSection.tsx:1; src\components\modules\TasksSection.tsx:2; src\components\modules\UpdateNotification.tsx:1; src\components\modules\UpdateNotification.tsx:2; src\components\modules\UpdateNotification.tsx:3; src\components\modules\VisualHub.tsx:1; src\components\modules\VisualHub.tsx:2; src\components\modules\YouTubePlayer.tsx:1; src\components\modules\YouTubePlayer.tsx:2; src\components\ParticleSphere.tsx:1; src\components\TodayHeadlines.tsx:1; src\components\TodayHeadlines.tsx:2; src\components\Transcript.tsx:2; src\components\ui\HolographicCard.tsx:1; src\components\ui\NeonButton.tsx:1; src\components\voice\AICore.tsx:1; src\components\voice\TranscriptTerminal.tsx:1; src\components\voice\TranscriptTerminal.tsx:2; src\components\VoiceOrb.tsx:2; src\hooks\useAudio.ts:1; src\hooks\useGeminiLive.ts:1; src\hooks\useZoom.ts:1; src\main.tsx:1; src\main.tsx:2; vite.config.ts:2"
"react-dom","dep","True","package.json:34; package.json:43; src\components\modules\UpdateNotification.tsx:2; src\main.tsx:2"
"recharts","dep","True","package.json:35"
"screenshot-desktop","dep","True","electron\main.js:10; package.json:36"
"systeminformation","dep","True","electron\main.js:9; package.json:37"
"tailwindcss","dev","True","package.json:51"
"tailwind-merge","dep","True","package.json:38"
"typescript","dev","True","package.json:52"
"vite","dev","True","package.json:10; package.json:12; package.json:44; package.json:53; package.json:8; package.json:9; vite.config.ts:1; vite.config.ts:2"
"wait-on","dev","True","package.json:11; package.json:54"
