"File","Lines"
"%USERPROFILE%\Desktop\usman_ahmed\customer_data.csv","1"
"%USERPROFILE%\Desktop\usman_ahmed\customer_data.txt","1"
".env","0"
".env.example","8"
".gitignore","13"
".vscode\extensions.json","3"
".vscode\settings.json","24"
"AI_CAPABILITIES.md","188"
"config_bak_C.dat","1"
"dev-app-update.yml","2"
"document_D4.txt","1"
"electron\main.js","903"
"electron\preload.js","14"
"electron-builder.json.bak","36"
"electron-builder.yml","40"
"file_G7.txt","1"
"index.html","20"
"junk_E5.tmp","1"
"main.py","0"
"package.json","56"
"package-lock.json","10093"
"postcss.config.js","6"
"public\audio-processor-worklet.js","31"
"random_junk_1.txt","1"
"README.md","31"
"report_F6.log","1"
"src\App.tsx","767"
"src\App_fix_destructure.txt","6"
"src\components\DotGlobe.tsx","177"
"src\components\layout\MainLayout.tsx","41"
"src\components\LogTerminal.tsx","91"
"src\components\modals\ContactsModal.tsx","156"
"src\components\modals\DashboardSettingsModal.tsx","72"
"src\components\modals\HistoryModal.tsx","110"
"src\components\modals\MemoryModal.tsx","120"
"src\components\modals\SecretKeyModal.tsx","103"
"src\components\modals\SettingsModal.tsx","142"
"src\components\modals\UserProfileModal.tsx","87"
"src\components\modules\AIGlobePortal.tsx","62"
"src\components\modules\FolderExplorer.tsx","87"
"src\components\modules\LoadingScreen.tsx","126"
"src\components\modules\NotesSection.tsx","185"
"src\components\modules\SidebarLeft.tsx","109"
"src\components\modules\SidebarRight.tsx","297"
"src\components\modules\SystemConnections.tsx","63"
"src\components\modules\SystemControls.tsx","99"
"src\components\modules\TasksSection.tsx","171"
"src\components\modules\UpdateNotification.tsx","232"
"src\components\modules\VisualHub.tsx","256"
"src\components\modules\YouTubePlayer.tsx","85"
"src\components\ParticleSphere.tsx","100"
"src\components\TodayHeadlines.tsx","89"
"src\components\Transcript.tsx","69"
"src\components\ui\HolographicCard.tsx","50"
"src\components\ui\NeonButton.tsx","41"
"src\components\voice\AICore.tsx","51"
"src\components\voice\TranscriptTerminal.tsx","63"
"src\components\VoiceOrb.tsx","109"
"src\config\gemini-config.ts","408"
"src\hooks\useAudio.ts","19"
"src\hooks\useGeminiLive.ts","563"
"src\hooks\useZoom.ts","56"
"src\index.css","182"
"src\lib\audio-helpers.ts","45"
"src\lib\audio-player.ts","123"
"src\lib\audio-utils.ts","83"
"src\lib\dashboard.ts","64"
"src\lib\gemini-tool-runner.ts","613"
"src\lib\genai.ts","58"
"src\main.tsx","7"
"src\types.ts","18"
"src\types\gemini-live.ts","24"
"src\vite-env.d.ts","8"
"stt_test.py","34"
"supabase\.temp\cli-latest","1"
"supabase\config.toml","347"
"supabase\functions\openai-proxy\.npmrc","3"
"supabase\functions\openai-proxy\deno.json","3"
"supabase\functions\openai-proxy\index.ts","48"
"system_log_23A.log","1"
"tailwind.config.js","94"
"temp_data_B.tmp","1"
"test_simple.spec","35"
"tsconfig.json","25"
"tsconfig.node.json","9"
"vite.config.ts","18"
"wake_word_bg.py","56"
